"date","parameter","location","value","unit","city","attribution","averagingperiod","coordinates","country","sourcename","sourcetype","mobile"
"{utc=2006-11-17T09:00:00.000Z, local=2006-11-17T09:00:00+00:00}","pm10","NMA - Nima","154.69","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T07:15:00.000Z, local=2006-11-17T07:15:00+00:00}","pm25","JTT - Jamestown","112.76","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-17T07:15:00.000Z, local=2006-11-17T07:15:00+00:00}","pm10","JTT - Jamestown","189.28","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T08:10:00.000Z, local=2006-11-19T08:10:00+00:00}","pm25","JTA - Jamestown","149.54","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T08:10:00.000Z, local=2006-11-19T08:10:00+00:00}","pm10","JTA - Jamestown","169.38","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=50.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T07:55:00.000Z, local=2006-11-19T07:55:00+00:00}","pm25","JTC - Jamestown","162.36","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=49.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T07:55:00.000Z, local=2006-11-19T07:55:00+00:00}","pm10","JTC - Jamestown","218.14","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=49.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T07:23:00.000Z, local=2006-11-19T07:23:00+00:00}","pm25","JTT - Jamestown","101.06","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=26.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T07:23:00.000Z, local=2006-11-19T07:23:00+00:00}","pm10","JTT - Jamestown","247.07","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=26.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T06:04:00.000Z, local=2006-11-19T06:04:00+00:00}","pm25","NMT - Nima","95.94","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=46.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T06:04:00.000Z, local=2006-11-19T06:04:00+00:00}","pm10","NMT - Nima","162.72","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=46.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T06:45:00.000Z, local=2006-11-19T06:45:00+00:00}","pm25","NMA - Nima","83.3","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=46.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-19T06:45:00.000Z, local=2006-11-19T06:45:00+00:00}","pm10","NMA - Nima","139.62","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=46.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-21T06:45:00.000Z, local=2006-11-21T06:45:00+00:00}","pm25","NMT - Nima","106.72","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=49.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-21T06:45:00.000Z, local=2006-11-21T06:45:00+00:00}","pm10","NMT - Nima","191.82","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=49.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
